sl_no,pe_name,contract_name,contract_amount,procurement_category,procurement_method,status,contract_code,SCPType,beneficialOwner,biddingProcess,bolpatraId1,bolpatraId2,bolpatraId3,contractAddress,contractDate,contractType,contractorCountry1,contractorCountry2,contractorCountry3,contractorGenericName,contractorName1,contractorName2,contractorName3,contractorType,deliveryDate,dlpEndDate,dlpStartDate,donorParty,endOrCompleteDate,estimatedCost,fiscalYear,grantLoanNo,ifbNo,isSCP,outstandingValue,percentageOfCompletion,postValidationDate,projectDescription,publicEntity,publicEntityName,sharedPercentage1,sharedPercentage2,sharedPercentage3,sourceOfFund,startDate,totalPayment,vat_no1,vat_no2,vat_no3,warrantyPeriod,contract_id
663,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of  Tarkenibesi and Mainamaini Trail Bridge",17451720.0,Works,NCB,Completed,CTP-45/077/78,,,Only e-Bid,,,,"KMC-34, Bhimsengola",29-09-2021,Lump sum contract,Nepal,--Select Country--,--Select Country--,Nilgiri Nirman Sewa Pvt Ltd,Nilgiri Nirman Sewa Pvt Ltd,,,Single,,22-03-2024,22-03-2023,,21-03-2023,26464795.76,2077/78,,NCB-43-50/077/78,No,0.0,100,,"Tarkenibesi	Okhaldhunga	        Sunkoshi	200.00	D
Mainamaini	Bhojpur/ Udaypur	Sunkoshi	189.00	D",289,Suspension Bridge Division (SBD),100,,,Goverment,29-09-2021,17412633.0,500166657,,,0,CTP-45/077/78
664,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of Bhuteni and Patapur Trail Bridge",31640000.0,Works,NCB,In-Progress,CTP-8/076/77,,,Only e-Bid,,,,Humla Nepal,11-03-2020,Lump sum contract,Nepal,--Select Country--,--Select Country--,Kangri Nirman Sewa,Kangri Nirman Sewa,,,Single,,14-07-2023,15-07-2022,,14-07-2022,40625279.19,,,NCB-3-13/076/77,No,7252100.0,0,,"a) Bhuteni	Jhapa	Bhuteni	155.80	N
b) Patapur	Jhapa	Tiring	175.00	N",289,Suspension Bridge Division (SBD),100,,,Goverment,11-03-2020,24387900.0,300378119,,,0,CTP-8/076/77
665,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of  Rangdalchour and Chhahara Khola Malarani Trail Bridge",28751720.0,Works,NCB,In-Progress,CTP-46/077/78,,,Only e-Bid,,,,"KMC-34, Bhimsengola",29-09-2021,Lump sum contract,Nepal,--Select Country--,--Select Country--,Nilgiri Nirman Sewa Pvt Ltd,Nilgiri Nirman Sewa Pvt Ltd,,,Single,,22-03-2024,22-03-2023,,21-03-2023,46053848.22,2077/78,,NCB-43-50/077/78,No,28751720.0,0,,"Rangdalchour	        Gulmi	        Chhalli	        370.00	D
Chhahara Khola Malarani	Arghakhanchi	Chhahara	153.50	D",289,Suspension Bridge Division (SBD),100,,,Goverment,29-09-2021,0.0,9851048185,,,0,CTP-46/077/78
666,208 Road Division Lalitpur,"Construction of Hunumante River Bridge, Along Madhyapur Thimi Ward no. 16 Connecting Hunuman Mandir and Imadole",54262712.86,Works,NCB,In-Progress,DROLTP/33701122-4/077/78-13,,,Only e-Bid,DROLTP/33701122-4/077/78-13,DROLTP/33701122-4/077/78-13,DROLTP/33701122-4/077/78-13,Kathmandu,01-02-2021,Unit rate contract,Nepal,--Select Country--,Nepal,Kanchharam - Kamaljit - Ganesh & Ganga JV,Ganesh & Ganga Construction,Kamaljit Nirman Sewa,Kancha Ram Construction Company Pvt. Ltd.,Joint Venture,,31-01-2024,01-02-2023,,31-01-2023,72447253.4,2077/78,,1-77/78,No,18994408.0,65,,"Construction of Hunumante River Bridge, Along Madhyapur Thimi Ward no. 16 Connecting Hunuman Mandir and Imadole",89,208 Road Division Lalitpur,25,35,40,Goverment,08-02-2031,35268303.0,606703736,300064797.0,300322820.0,0,DROLTP/33701122-4/077/78-13
667,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of  Udindhunga and Chutrabot Lakuri Trail Bridge",41159120.0,Works,NCB,Completed,CTP-47/077/78,,,Only e-Bid,,,,"KMC-34, Bhimsengola",29-09-2021,Unit rate contract,Nepal,--Select Country--,--Select Country--,Nilgiri Nirman Sewa Pvt Ltd,Nilgiri Nirman Sewa Pvt Ltd,,,Single,,19-03-2024,19-03-2023,,18-03-2023,67750814.78,2077/78,,NCB-43-50/077/78,No,0.0,100,,"Udindhunga	        Gulmi	Okhini	370.00	D
Chutrabot Lakuri	Gulmi	Nisti	370.00	D",289,Suspension Bridge Division (SBD),100,,,Goverment,29-09-2021,40921722.0,9851048185,,,0,CTP-47/077/78
668,"Infrastructure Development Office, Gorkha",Upgrading of Pallotar Devisthan Sadak,1991737.0,Works,NCB,Completed,IDO/GORKHA/NCB/W/R/06/078-079,Others,,Only e-Bid,IDO/GORKHA/NCB/W/R/06/078-079,,,Gorkha,06-01-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,"Kribind Nirman Sewa, Gorkha","Kribind Nirman Sewa, Gorkha",,,Single,,29-06-2023,29-05-2022,,29-05-2022,2063785.59,2078/79,,IDO/GORKHA/NCB/W/R/06/078-079,Yes,0.0,100,,Upgrading of Pallotar Devisthan Sadak,3932,"Infrastructure Development Office, Gorkha",100,,,Goverment,12-01-2022,1951902.26,30369041,,,0,IDO/GORKHA/NCB/W/R/06/078-079
669,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of Badidamar Satya Mabi and Machhedi Lamidamar Barahakhet Trail Bridge",28363000.0,Works,NCB,Completed,CTP-10/076/77,,,Only e-Bid,,,,mahendranagar Kanchanpur,27-02-2020,Lump sum contract,Nepal,--Select Country--,--Select Country--,Malika Nirman Sewa Pvt. Ltd,Malika Nirman Sewa Pvt. Ltd,,,Single,,13-04-2024,14-04-2023,,13-04-2023,36795971.66,,,NCB-3-13/076/77,No,0.0,100,,"a) Badidamar Satya Ma Bi Pyuthan Rapti	160.60	N
b) Machhedi Lamidamar Barahakhet Pyuthan Madi 160.60 N",289,Suspension Bridge Division (SBD),100,,,Goverment,27-02-2020,27929647.0,604316383,,,0,CTP-10/076/77
670,"Infrastructure Development Office, Gorkha","Construction and Upgrading of Jumli Chautara Rainas Sadak,Gorkha",1523946.83,Works,NCB,Completed,IDO/GORKHA/NCB/W/R/23/078-079,Others,,Only e-Bid,IDO/GORKHA/NCB/W/R/23/078-079,,,Baglung,04-02-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,"New Gorkha Manankamana Construction,Baglung","New Gorkha Manankamana Construction,Baglung",,,Single,,29-07-2023,29-06-2022,,29-06-2022,2049012.6,2078/79,,IDO/GORKHA/NCB/W/R/23/078-079,Yes,0.0,100,,"Construction and Upgrading of Jumli Chautara Rainas Sadak,Gorkha",3932,"Infrastructure Development Office, Gorkha",100,,,Goverment,09-02-2022,1493467.89,3000447570,,,0,IDO/GORKHA/NCB/W/R/23/078-079
671,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of  Kuira Nadi (Ranikunda) Trail Bridge",24959188.01,Works,NCB,Completed,CTP-48/077/78,,,Only e-Bid,,,,"Dhangadhi-1, Kailali",28-09-2021,Lump sum contract,Nepal,Nepal,Nepal,Khampache-Chandrodaya JV,Khampache Sherpa Nirman Sewa Pvt Ltd,Chandrodaya Nirman Sewa,,Joint Venture,,22-03-2024,22-03-2023,,21-03-2023,39753839.08,2077/78,,NCB-43-50/077/78,No,0.0,100,,Kuira Nadi (Ranikunda)	Kailali	Kuiranadi	309.40	N,289,Suspension Bridge Division (SBD),75,25,,Goverment,28-09-2021,26264133.0,301331942,300283976.0,,0,CTP-48/077/78
672,208 Road Division Lalitpur,Periodic Maintenance of Thaiba Sanogaun Road .,7938729.0,Works,NCB,In-Progress,DROLTP/33731011-3/078/79-05(Re),,,Only e-Bid,DROLTP/33731011-3/078/79-05(Re),,,Lalitpur,29-06-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Shuvam Construction,Shuvam Construction,,,Single,,12-12-2023,13-12-2022,,29-12-2022,8282222.0,2078/79,,3-78/79,No,7588729.0,5,,Periodic Maintenance of Thaiba Sanogaun Road .,89,208 Road Division Lalitpur,100,,,Goverment,05-07-2022,350000.0,302543056,,,0,DROLTP/33731011-3/078/79-05(Re)
673,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of Kartibeshi Dordi, Pisang and Thorungphedi Trail Bridge",59239147.12,Works,NCB,Completed,CTP-13/076/77,,,Only e-Bid,,,,"Battisputali, Kathmandu",27-02-2020,Lump sum contract,Nepal,Nepal,--Select Country--,"Uma/Thani JV,",Thani Nirman Sewa Private Limitad,Uma & Company Pvt. Ltd.,,Joint Venture,,13-04-2024,14-04-2023,,13-04-2023,72031834.82,,,NCB-3-13/076/77,No,0.0,100,,"a) Kartibesi Dordi Lamjung Dordi 121.00	D
b) Pisang Manang Marsyangdi 122.00 D
c) Thorungphedi Chyaukang Manang Thorang 359.00	D",289,Suspension Bridge Division (SBD),50,50,,Goverment,27-02-2020,62839225.0,301439756,600993313.0,,0,CTP-13/076/77
674,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of  Padku Trail Bridge",42850752.65,Works,NCB,In-Progress,NCB-50/077/78,,,Only e-Bid,,,,"Putalibazaar-1, Syangja",28-09-2021,Unit rate contract,Nepal,--Select Country--,--Select Country--,Shree Geeta Construction,Shree Geeta Construction,,,Single,,20-09-2024,20-09-2023,,19-09-2023,64268404.73,2077/78,,NCB-43-50/077/78,No,38253211.65,11,,Padku	Kaski	Padkukhola 470.00	D,289,Suspension Bridge Division (SBD),100,,,Goverment,28-09-2021,4597541.0,300108842,,,0,NCB-50/077/78
675,"Infrastructure Development Office, Gorkha","Upgrading of shikhar Koke Ahale GHaikhur Taple Chaapthok Road,Gorkha",2279723.38,Works,NCB,In-Progress,IDO/GORKHA/NCB/W/BRIDGE/09/077-078,Others,,Only e-Bid,IDO/GORKHA/NCB/W/BRIDGE/09/077-078,,,Gorkha,26-12-2021,Lump sum contract,Nepal,--Select Country--,--Select Country--,Amrit Construction,Amrit Construction,,,Single,,11-12-2024,11-12-2023,,11-12-2023,2974701.65,2078/79,,IDO/GORKHA/NCB/W/BRIDGE/09/077-078,Yes,0.0,45,,"Upgrading of shikhar Koke Ahale GHaikhur Taple Chaapthok Road,Gorkha",3932,"Infrastructure Development Office, Gorkha",100,,,Goverment,31-12-2021,120000.0,606831099,,,0,IDO/GORKHA/NCB/W/BRIDGE/09/077-078
676,208 Road Division Lalitpur,Periodic Maintenance of Junction road Lele Tikabhairab Road,6781117.0,Works,NCB,In-Progress,DROLTP/33731011-3/078/79-06,,,Only e-Bid,DROLTP/33731011-3/078/79-06,,,Lalitpur,04-04-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,"Shanti Infrastructure Pvt.Ltd.,",Shanti Infrastructure Pvt.Ltd.,,,Single,,19-10-2023,20-10-2022,,21-10-2022,7868761.0,2078/79,,78/79,No,6781117.0,0,,Periodic Maintenance of Junction road Lele Tikabhairab Road .,89,208 Road Division Lalitpur,100,,,Goverment,11-04-2022,0.0,606762069,,,0,DROLTP/33731011-3/078/79-06
677,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of Mamkha Kharte Khola, Bhulketaar Molung Khola and Swara Tapkhola Trail Bridges",35104580.0,Works,NCB,In-Progress,CTP-15/076/77,,,Only e-Bid,,,,"Diktel-2,Khotang",10-06-2020,Lump sum contract,Nepal,Nepal,Nepal,Dibyajyoti -ID-Swornim JV,I.D. Construction Pvt. Ltd,Divya Jyoti Construction Pvt. Ltd,Swarnim Nirman Sewa,Joint Venture,,06-12-2023,07-12-2022,,06-12-2022,54490971.0,,,NCB-14-22/076/77,No,26931968.0,0,,"a) Mamkha Kharte Khola	Okhaldhunga Kharte 232.00 D
b) Bhulketaar Molung Khola Okhaldhunga	Molung	264.00	D
c) Swara Tapkhola Khotang Tap 	155.00	D",289,Suspension Bridge Division (SBD),25,50,25,Goverment,10-06-2020,8172612.0,605889503,601852141.0,606597562.0,0,CTP-15/076/77
678,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of Ratekhal Trail Bridge",22538759.02,Works,NCB,In-Progress,NCB-43/076/77,,,Only e-Bid,,,,"Budhanilkantha-12, Kapan",14-07-2020,Unit rate contract,Nepal,Nepal,--Select Country--,Elite/B.L.T. JV,Elite Construction Company Pvt. Ltd,BLT Construction Pvt Ltd,,Joint Venture,,06-08-2023,06-08-2022,,05-08-2022,30821864.34,,,NCB-41-50/076/77,No,5289332.02,0,,Ratekhal Jhapa	Tangting Khola	235.00	N,289,Suspension Bridge Division (SBD),70,30,,Goverment,14-07-2020,17249427.0,300057854,305576918.0,,0,NCB-43/076/77
679,"Infrastructure Development Office, Gorkha",Construction of Khagigaun To Darche Sadak,773328.0,Other Services,Sealed Quotation,Completed,IDO/GORKHA/SQ/W/R/02/078-079,Others,,Only e-Bid,IDO/GORKHA/SQ/W/R/02/078-079,,,"Ba.Na-01,Baglung",06-01-2022,lump sum contract,Nepal,--Select Country--,--Select Country--,"Shree Gorkha Manakamana  Construction, Ba.Na-01,Baglung","Shree Gorkha Manakamana  Construction, Ba.Na-01,Baglung",,,Single,,,,,29-05-2022,781959.0,2078/79,,IDO/GORKHA/SQ/W/R/02/078-079,Yes,0.0,100,,Construction of Khagigaun To Darche Sadak,3932,"Infrastructure Development Office, Gorkha",100,,,Goverment,28-01-2022,757861.44,300659040,,,0,IDO/GORKHA/SQ/W/R/02/078-079
680,208 Road Division Lalitpur,Periodic Maintenance of Kupondle ( Himalayan Hotel) Jwagal Chakupata Road,10838294.0,Works,NCB,In-Progress,DROLTP/33731011-3/078/79-07,,,Only e-Bid,DROLTP/33731011-3/078/79-07,,,Kathmandu,08-04-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,GS Thokar Construction,GS Thokar Construction,,,Single,,11-04-2023,12-04-2022,,11-10-2022,9985172.0,,,78/79,No,10838294.0,0,,Periodic Maintenance of Kupondle ( Himalayan Hotel) Jwagal Chakupata Road,89,208 Road Division Lalitpur,100,,,Goverment,18-04-2022,0.0,302672187,,,0,DROLTP/33731011-3/078/79-07
681,208 Road Division Lalitpur,Periodic Maintenance of Nakhhu Chobhar Road,11850288.0,Works,NCB,In-Progress,DROLTP/33731011-3/078/79-08,,,Only e-Bid,DROLTP/33731011-3/078/79-08,,,Lalitpur,15-04-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Saptapath Nirman Sewa,Saptapath Nirman Sewa,,,Single,,19-10-2023,20-10-2022,,19-10-2022,10543115.0,,,78/79,No,10850288.0,9,,Periodic Maintenance of Nakhhu Chobhar Road,89,208 Road Division Lalitpur,100,,,Goverment,22-04-2022,1000000.0,302976731,,,0,DROLTP/33731011-3/078/79-08
682,208 Road Division Lalitpur,Periodic Maintenance of Saugal Chowk Bholdhoka Balkumari Road,9325233.0,Works,NCB,In-Progress,DROLTP/33731011-3/078/79-09,,,Only e-Bid,DROLTP/33731011-3/078/79-09,,,Dailekh,12-07-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Bhairabmast Nirman Sewa,Bhairabmast Nirman Sewa,,,Single,,12-03-2024,13-03-2023,,12-03-2023,12638246.0,2078/79,,78/79,No,8914233.0,5,,Periodic Maintenance of Saugal Chowk Bholdhoka Balkumari Road .,89,208 Road Division Lalitpur,100,,,Goverment,04-08-2022,411000.0,616869545,,,0,DROLTP/33731011-3/078/79-09
683,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of  Naglibang Trail Bridge",12091000.0,Works,NCB,In-Progress,CTP-51/077/78,,,Only e-Bid,,,,"Nepalgunj-2, Banke",27-02-2022,Lump sum contract,Nepal,--Select Country--,--Select Country--,M.P. Construction Company Pvt Ltd,M.P. Construction Company Pvt Ltd,,,Single,,24-08-2024,24-08-2023,,23-08-2023,22099331.88,2077/78,,NCB-51-60/077/78,No,12091000.0,0,,Banpadhera Bastolagaun	Bhaktapur	Mahadevkhola 	250.00	D,289,Suspension Bridge Division (SBD),100,,,Goverment,27-02-2022,0.0,300026328,,,0,CTP-51/077/78
684,"Infrastructure Development Office, Gorkha","Consstruction of Rechet Khola Bridge, Gorkha",48895738.0,Works,NCB,In-Progress,IDO/GORKHA/NCB/W/BRIDGE/02/077-078,Others,,Only e-Bid,IDO/GORKHA/NCB/W/BRIDGE/02/077-07,,,Ka.ma.Na.Pa-16 Balaju Kathmandu,06-06-2021,Unit rate contract,Nepal,--Select Country--,--Select Country--,Kalpabrichhya Builders Pvt.Ltd,Kalpabrichhya Builders Pvt.Ltd,,,Single,,06-07-2024,06-06-2023,,06-06-2023,74427852.0,2078/79,,IDO/GORKHA/NCB/W/BRIDGE/02/077-07,Yes,0.0,50,,"Consstruction of Rechet Khola Bridge, Gorkha",3932,"Infrastructure Development Office, Gorkha",100,,,Goverment,14-06-2021,27754382.0,609774012,,,0,IDO/GORKHA/NCB/W/BRIDGE/02/077-078
685,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of  Bharbang Nawang Trail Bridge",21018000.0,Works,NCB,Completed,CTP-53/077/78,,,Only e-Bid,,,,"KMC-32, Koteshwor",15-11-2021,Lump sum contract,Nepal,Nepal,Nepal,Thani-Kali-Himshikhar JV,Thani Nirman Sewa Pvt Ltd,Kali Nirman Sewa,Himshikhar Construction Sewa,Joint Venture,,10-05-2024,10-05-2023,,09-05-2023,29586402.28,2077/78,,NCB-51-60/077/78,No,0.0,100,,Bharbang Nawang		Baglung	 Bhyarbang khola	337.00	D,289,Suspension Bridge Division (SBD),50,25,25,Goverment,15-11-2021,20947524.0,301439756,300434279.0,301539775.0,0,CTP-53/077/78
686,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of  Sikha Kindu  Trail Bridge",19102650.0,Works,NCB,Completed,CTP-54/077/78,,,Only e-Bid,,,,"Bigu-7, Dolakha",27-02-2022,Lump sum contract,Nepal,Nepal,Nepal,Gorkha-Dawa-Rujan JV,Gorkha Construction Pvt Ltd,Dawa Construction,Rujan K. Nirman Sewa Pvt.Ltd,Joint Venture,,01-09-2024,01-09-2023,,31-08-2023,30043305.01,2077/78,,NCB-51-60/077/78,No,0.0,100,,Sikha Kindu	Myagdi	Ghirbang	345.00	D,289,Suspension Bridge Division (SBD),40,30,30,Goverment,27-02-2022,19102650.0,602473440,302336834.0,300134720.0,0,CTP-54/077/78
687,208 Road Division Lalitpur,Periodic Maintenance of Champi Tikabhairab Road,9000231.0,Works,NCB,In-Progress,DROLTP/33731011-3/078/79-010,,,Only e-Bid,DROLTP/33731011-3/078/79-010,,,Lalitpur,04-04-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,"Shanti Infrastructure Pvt.Ltd.,",Shanti Infrastructure Pvt.Ltd.,,,Single,,07-10-2023,08-10-2022,,07-10-2022,11563377.0,2078/79,,78/79,No,9000231.0,0,,Periodic Maintenance of Champi Tikabhairab Road,89,208 Road Division Lalitpur,100,,,Goverment,11-04-2022,0.0,606762069,,,0,DROLTP/33731011-3/078/79-010
688,208 Road Division Lalitpur,Specific Maintenance ( Rigid Pavement works ) of Iti- Prayagpokhari Road,5820914.0,Works,NCB,In-Progress,DROLTP/33731011-3/078/079-011,,,Only e-Bid,DROLTP/33731011-3/078/079-011,,,Lalitpur,15-04-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Drama Construction Company P.Ltd,Drama Construction Company P.Ltd,,,Single,,19-10-2023,20-10-2022,,19-10-2022,6331640.0,2078/79,,78/79,No,5320914.0,9,,Specific Maintenance ( Rigid Pavement works ) of Iti- Prayagpokhari Road,89,208 Road Division Lalitpur,100,,,Goverment,22-04-2022,500000.0,604322175,,,0,DROLTP/33731011-3/078/079-011
689,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of  Jyamirgadhi Guwalgaun  Trail Bridge",45159383.27,Works,NCB,In-Progress,NCB-56/077/78,,,Only e-Bid,,,,"Triyuga-11, Udaypur",18-11-2021,Unit rate contract,Nepal,Nepal,Nepal,Rautaha-Anshubi-Ansuman JV,Rautaha Construction Pvt.Ltd,Anshubi Construction Pvt. Ltd.,Ansuman and Associates Pvt. Ltd,Joint Venture,,17-05-2024,17-05-2023,,16-05-2023,73489030.91,2077/78,,NCB-51-60/077/78,No,45159383.27,0,,Jyamirgadhi Guwalgaun	Jhapa	Mechi	326.20	N,289,Suspension Bridge Division (SBD),50,25,25,Goverment,18-11-2021,0.0,302606786,609662261.0,603507032.0,0,NCB-56/077/78
690,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of Khanikhola Jalkuni, Andheri Khola (Kalika), Badh Dabile Aapchour Gadikhola and Rampur Tari Trail Bridges",42374996.61,Works,NCB,Completed,CTP-20/076/77,,,Only e-Bid,,,,"Kohalpur, Banke",26-05-2020,Lump sum contract,Nepal,--Select Country--,--Select Country--,"BLT Construction Pvt Ltd,","BLT Construction Pvt Ltd,",,,Single,,23-12-2023,24-12-2022,,23-12-2022,56293381.0,,,NCB-14-22/076/77,No,0.0,100,,"a) Khanikhola Jalkuni Syanja Khani  140.00	D
b) Adheri Khola (Kalika) Syanja	Adheri  147.00	D
c) Badh Dabile Aapchaur Gadikhola Gulmi	Gedi  171.00 D",289,Suspension Bridge Division (SBD),100,,,Goverment,26-05-2020,34298724.0,305576918,,,0,CTP-20/076/77
691,208 Road Division Lalitpur,"Road Improvement Works in Shree RajdalGan Brrack,Lagankhel.",10392304.0,Works,NCB,In-Progress,DROLTP/33701120-4/078/79-013,,,Only e-Bid,DROLTP/33701120-4/078/79-013,,,Lalitpur,04-04-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,"Shanti Infrastructure Pvt.Ltd.,",Shanti Infrastructure Pvt.Ltd.,,,Single,,07-10-2023,08-10-2022,,07-10-2022,11944106.0,,,78/79,No,10392304.0,0,,"Road Improvement Works in Shree RajdalGan Brrack,Lagankhel.",89,208 Road Division Lalitpur,100,,,Goverment,11-04-2022,0.0,606762069,,,0,DROLTP/33701120-4/078/79-013
692,"Infrastructure Development Office, Gorkha","Upgrading of Dhungagade-Bhanjyang- Bunkot-Namjung-Ghaisang-Manakamana Road,Gorkha",386740872.22,Works,NCB,Completed,IDO/LAMJUNG/NCB/W/ER/06/075-076,Others,,Only e-Bid,IDO/LAMJUNG/NCB/W/ER/06/075-076,,,Kathmandu,23-10-2019,Unit rate contract,Nepal,--Select Country--,--Select Country--,Lama Construction Company Pvt.Ltd,Lama Construction Company Pvt.Ltd,,,Single,,22-02-2023,22-01-2022,,22-01-2022,481407174.66,2078/79,,IDO/LAMJUNG/NCB/W/ER/06/075-076,Yes,0.0,100,,"Upgrading of Dhungagade-Bhanjyang- Bunkot-Namjung-Ghaisang-Manakamana Road,Gorkha",3932,"Infrastructure Development Office, Gorkha",100,,,Goverment,10-09-2019,382591256.0,30005103,,,0,IDO/LAMJUNG/NCB/W/ER/06/075-076
693,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of  Tangting Goyang Khola Trail Bridge",24743868.69,Works,NCB,Completed,NCB-58/077/78,,,Only e-Bid,,,,Roshi-2,16-11-2021,Unit rate contract,Nepal,Nepal,--Select Country--,Lama Pragati-Babiro JV,Lama Pragati Nirman Sewa,Babiro Mast Nirman Sewa Pvt.Ltd.,,Joint Venture,,07-05-2024,07-05-2023,,06-05-2023,38686121.99,2077/78,,NCB-51-60/077/78,No,0.0,100,,Tangting Goyang Khola	Jhapa	Tanting	170.20	N,289,Suspension Bridge Division (SBD),70,30,,Goverment,16-11-2021,23605180.0,300094040,300026283.0,,0,NCB-58/077/78
694,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of  Simaltal Trail Bridge",15862996.1,Works,NCB,Completed,NCB-59/077/78,,,Only e-Bid,,,,Roshi-2,16-11-2021,Unit rate contract,Nepal,Nepal,--Select Country--,Lama Pragati-Babiro JV,Lama Pragati Nirman Sewa,Babiro Mast Nirman Sewa Pvt.Ltd.,,Joint Venture,,07-05-2024,07-05-2023,,06-05-2023,22132337.61,2077/78,,NCB-51-60/077/78,No,0.0,100,,Simaltal	Chitwan/Tanahun	Trisuli	180.50	D,289,Suspension Bridge Division (SBD),70,30,,Goverment,16-11-2021,10403764.0,300094040,300026283.0,,0,NCB-59/077/78
695,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of Bagun Baitada and Nigali Thuligaad Trail Bridges",18645000.0,Works,NCB,In-Progress,CTP-22/076/77,,,Only e-Bid,,,,mahendranagar Kanchanpur,10-06-2020,Lump sum contract,Nepal,--Select Country--,--Select Country--,Malika Nirman Sewa Pvt. Ltd,Malika Nirman Sewa Pvt. Ltd,,,Single,,16-10-2023,17-10-2022,,16-10-2022,28124220.0,,,NCB-14-22/076/77,No,13978100.0,0,,"a) Bagun Baitada, Kanchanpur Bhalu khola span-148.60/N
b) Nigali Thuligaad, Doti Thuligaad span-146.70/D",289,Suspension Bridge Division (SBD),100,,,Goverment,10-06-2020,4666900.0,604316383,,,0,CTP-22/076/77
696,208 Road Division Lalitpur,Road Imporovement Works on Mhalaxmi Na.pa Ward no.4 Imadole Tempo park - Om Etta Bhatta to Chaubaato road .,8678075.0,Works,NCB,In-Progress,DROLTP/33701169-4/078/79-14,,,Only e-Bid,DROLTP/33701169-4/078/79-14,,,Kathmandu,11-04-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,J.S.S. Engineering Services P. Ltd.,J.S.S. Engineering Services P. Ltd.,,,Single,,14-10-2023,15-10-2022,,14-10-2022,8659982.0,,,78/79,No,8678075.0,0,,Road Imporovement Works on Mhalaxmi Na.pa Ward no.4 Imadole Tempo park - Om Etta Bhatta to Chaubaato road .,89,208 Road Division Lalitpur,100,,,Goverment,19-04-2022,0.0,603315406,,,0,DROLTP/33701169-4/078/79-14
697,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of Garuwa Dipudanda Tirtire Trail Bridge",32456232.69,Works,NCB,Completed,NCB-45/076/77,,,Only e-Bid,,,,"KMC-10, New Baneshwor",10-07-2020,Unit rate contract,Nepal,Nepal,Nepal,Dhulikhel-ID-Swornim JV,Dhulikhel Nirman Sewa Pvt Ltd,I.D. Construction Pvt. Ltd,Swarnim Nirman Sewa Pvt.Ltd.,Joint Venture,,08-06-2023,08-06-2022,,07-06-2022,46854244.06,,,41-50/076/77,No,0.0,100,,Garuwa Dipudanda Tirtire Ilam	Garuwa	Khola 355.00	N,289,Suspension Bridge Division (SBD),50,25,25,Goverment,10-07-2020,32766661.0,300184365,605889503.0,606597562.0,0,NCB-45/076/77
698,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of  Hanuman Nagar Gobargada Trail Bridge",60767078.5,Works,NCB,In-Progress,NCB-60/077/78,,,Only e-Bid,,,,"Nepalgunj-18, Banke",16-11-2021,Unit rate contract,Nepal,Nepal,Nepal,Muktinath- Jaya Bageshwori-MP JV,Muktinath Nirman sewa Pvt.Ltd,Jaya Bageshwori Mata Construction Pvt. Ltd.,M.P. Construction Company P. Ltd.,Joint Venture,,02-11-2024,02-11-2023,,01-11-2023,106121182.2,2077/78,,NCB-51-60/077/78,No,60767078.5,0,,"Hanuman Nagar Gobargada	Saptari	Katan Khola, Koshi	426.80	MN",289,Suspension Bridge Division (SBD),40,30,30,Goverment,16-11-2021,0.0,300440450,303946793.0,300026328.0,0,NCB-60/077/78
